,Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
29210,29211,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
29211,29212,S92000003,P,1,2,5,2,2,1,2,1,9,1,4,4,2,2
29212,29213,S92000003,P,4,2,4,1,2,1,1,1,1,3,9,5,X,4
29213,29214,S92000003,P,1,1,3,2,2,2,1,3,4,1,2,7,3,1
29214,29215,S92000003,P,1,1,7,2,2,1,1,1,2,1,4,6,2,2
29215,29216,S92000003,P,4,1,2,1,1,1,1,1,1,4,9,5,2,4
29216,29217,S92000003,P,0,1,3,1,2,1,2,1,1,1,7,4,2,4
29217,29218,S92000003,P,1,2,6,2,2,1,3,1,1,1,1,8,2,3
29218,29219,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
29219,29220,S92000003,P,1,1,6,2,2,1,2,1,9,1,9,8,3,3
29220,29221,S92000003,P,1,2,8,2,2,1,3,1,2,5,6,11,X,4
29221,29222,S92000003,P,1,1,5,3,2,1,2,1,1,1,9,2,3,4
29222,29223,S92000003,P,0,1,5,1,2,1,2,1,2,1,5,3,3,3
29223,29224,S92000003,P,4,2,4,1,2,1,2,1,1,3,X,X,X,4
29224,29225,S92000003,P,2,1,4,1,2,1,1,1,1,1,4,9,3,2
29225,29226,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,11,3,4
29226,29227,S92000003,P,1,1,8,2,2,1,3,1,2,5,4,9,X,2
29227,29228,S92000003,P,1,1,6,2,2,1,2,1,2,2,8,6,3,4
29228,29229,S92000003,P,4,2,3,1,1,1,2,1,1,6,6,11,X,2
29229,29230,S92000003,P,1,1,6,2,2,1,3,1,2,9,9,6,X,4
29230,29231,S92000003,P,0,2,2,1,1,2,1,3,1,6,X,X,X,2
29231,29232,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
29232,29233,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
29233,29234,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
29234,29235,S92000003,P,1,2,3,2,2,1,2,1,2,1,4,7,2,2
29235,29236,S92000003,P,1,2,4,2,2,1,2,1,1,1,4,8,3,2
29236,29237,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
29237,29238,S92000003,P,4,2,4,1,2,1,1,1,1,1,9,13,2,4
29238,29239,S92000003,P,1,2,4,2,2,1,1,1,2,1,4,4,3,2
29239,29240,S92000003,P,4,1,2,1,1,1,1,1,9,6,9,5,X,2
29240,29241,S92000003,P,4,2,4,3,2,2,2,4,2,3,6,11,X,4
29241,29242,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
29242,29243,S92000003,P,0,2,7,5,2,2,3,1,2,5,5,5,X,4
29243,29244,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
29244,29245,S92000003,P,2,2,4,2,2,2,2,1,2,7,9,8,X,3
29245,29246,S92000003,P,4,2,5,3,2,1,1,1,2,1,8,2,3,4
29246,29247,S92000003,P,4,2,3,1,1,1,1,1,2,4,3,12,2,4
29247,29248,S92000003,P,1,1,6,2,2,1,1,1,2,2,1,11,3,1
29248,29249,S92000003,P,1,2,1,1,2,2,1,1,2,X,X,X,X,X
29249,29250,S92000003,P,1,2,7,2,2,1,2,1,2,5,5,8,X,3
29250,29251,S92000003,P,2,2,4,1,2,1,1,1,2,1,8,8,3,3
29251,29252,S92000003,P,1,1,8,2,2,1,1,1,1,5,1,6,X,2
29252,29253,S92000003,P,4,2,5,3,2,2,1,1,2,2,2,7,1,1
29253,29254,S92000003,C,X,2,2,1,1,2,1,3,1,6,X,X,X,X
29254,29255,S92000003,P,0,2,4,1,2,1,1,1,9,1,4,13,3,2
29255,29256,S92000003,P,1,1,5,2,1,1,1,1,2,6,2,11,X,2
29256,29257,S92000003,C,X,2,8,2,2,1,5,1,2,5,2,11,X,X
29257,29258,S92000003,P,1,1,4,2,2,1,1,1,1,2,2,8,4,1
29258,29259,S92000003,C,X,2,8,5,2,1,3,1,2,5,7,4,X,X
29259,29260,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
29260,29261,S92000003,P,1,1,1,1,1,1,2,1,1,X,X,X,X,X
29261,29262,S92000003,P,1,2,8,2,2,1,2,1,2,5,7,4,X,2
29262,29263,S92000003,P,0,2,2,1,1,2,2,1,2,6,7,8,X,2
29263,29264,S92000003,P,0,2,2,1,1,1,1,1,2,6,6,8,X,2
29264,29265,S92000003,P,0,2,2,1,1,1,1,1,9,4,X,X,X,2
29265,29266,S92000003,P,0,1,2,1,1,1,1,1,2,6,9,5,X,2
29266,29267,S92000003,P,4,1,2,1,2,1,1,1,9,1,5,4,3,4
29267,29268,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
29268,29269,S92000003,P,1,2,1,1,1,1,4,1,1,X,X,X,X,X
29269,29270,S92000003,P,2,1,2,1,1,1,2,1,1,4,5,3,3,2
29270,29271,S92000003,P,1,2,5,2,2,1,2,1,9,1,4,4,2,4
29271,29272,S92000003,P,1,1,1,1,2,1,2,1,2,X,X,X,X,X
29272,29273,S92000003,P,2,2,5,4,2,1,2,1,1,1,4,8,2,2
29273,29274,S92000003,P,1,1,5,1,2,1,1,1,2,3,7,2,X,4
29274,29275,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
29275,29276,S92000003,P,0,1,4,1,2,1,3,1,1,1,1,7,3,1
29276,29277,S92000003,P,0,2,6,1,2,1,4,1,1,8,7,11,X,4
29277,29278,S92000003,P,1,1,5,2,2,1,2,1,1,1,2,3,3,1
29278,29279,S92000003,P,0,2,3,1,2,2,2,1,1,1,3,6,3,1
29279,29280,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
29280,29281,S92000003,P,1,1,3,2,2,2,1,1,2,1,8,2,3,4
29281,29282,S92000003,P,5,2,3,1,2,2,1,1,2,1,9,8,3,4
29282,29283,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
29283,29284,S92000003,P,0,2,3,1,1,1,2,1,1,6,4,5,X,2
29284,29285,S92000003,P,0,2,6,5,2,1,1,1,2,1,7,4,2,4
29285,29286,S92000003,P,0,2,7,4,2,1,1,1,2,5,9,11,X,4
29286,29287,S92000003,P,0,1,2,1,2,1,1,1,2,1,1,7,3,1
29287,29288,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
29288,29289,S92000003,P,2,1,2,1,1,1,1,1,9,4,7,4,1,2
29289,29290,S92000003,P,0,2,3,1,2,1,1,1,1,1,9,5,3,4
29290,29291,S92000003,P,0,1,3,1,2,1,1,1,2,1,2,6,3,1
29291,29292,S92000003,P,0,1,5,2,2,1,1,1,1,1,1,8,3,1
29292,29293,S92000003,P,5,1,2,1,1,2,1,3,4,4,9,5,2,2
29293,29294,S92000003,P,0,1,3,1,2,2,1,1,2,1,7,4,2,2
29294,29295,S92000003,P,4,1,3,1,2,1,1,1,1,9,X,X,X,4
29295,29296,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
29296,29297,S92000003,P,4,2,4,1,2,1,1,1,1,7,4,11,X,2
29297,29298,S92000003,P,4,2,2,1,2,1,1,1,1,1,4,2,3,3
29298,29299,S92000003,P,1,1,1,1,1,1,1,3,2,X,X,X,X,X
29299,29300,S92000003,P,0,1,3,1,2,1,1,1,2,1,3,2,4,2
29300,29301,S92000003,P,1,2,3,2,2,1,2,1,1,1,4,12,2,2
29301,29302,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
29302,29303,S92000003,P,4,1,1,1,1,2,1,4,2,X,X,X,X,X
29303,29304,S92000003,P,1,2,5,2,2,1,1,1,1,1,2,11,2,2
29304,29305,S92000003,P,2,1,3,1,2,1,1,1,1,1,1,7,3,1
29305,29306,S92000003,P,2,2,6,4,2,1,1,1,1,1,3,11,3,2
29306,29307,S92000003,P,0,1,2,1,1,2,1,3,6,6,X,X,X,2
29307,29308,S92000003,P,0,1,2,1,1,1,2,1,1,6,9,2,X,2
29308,29309,S92000003,P,0,2,8,1,2,1,1,1,2,5,2,11,X,1
29309,29310,S92000003,P,1,1,2,1,1,1,1,1,9,6,X,X,X,1
29310,29311,S92000003,P,0,2,7,4,2,1,2,1,2,1,7,4,2,4
29311,29312,S92000003,P,2,2,4,3,2,1,3,1,1,1,4,7,3,3
29312,29313,S92000003,P,0,2,4,1,1,2,2,1,9,4,9,5,2,2
29313,29314,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,10,3,1
29314,29315,S92000003,P,0,1,3,2,2,1,1,1,1,1,1,3,3,3
29315,29316,S92000003,P,1,2,1,1,2,1,1,1,6,X,X,X,X,X
29316,29317,S92000003,P,2,2,3,1,2,1,1,1,1,1,1,11,3,1
29317,29318,S92000003,P,2,1,3,1,1,1,3,1,1,6,3,10,X,2
29318,29319,S92000003,P,0,1,4,1,2,1,3,1,1,1,2,11,3,1
29319,29320,S92000003,P,4,1,2,1,2,1,2,1,1,1,5,8,1,4
29320,29321,S92000003,P,0,2,5,3,2,1,3,1,9,7,6,11,X,4
29321,29322,S92000003,P,4,1,2,1,1,1,1,1,1,4,9,5,1,4
29322,29323,S92000003,P,0,1,7,4,2,1,1,1,2,5,5,3,X,3
29323,29324,S92000003,P,4,1,5,1,2,1,1,1,9,1,8,2,3,2
29324,29325,S92000003,P,5,1,3,4,2,2,2,1,9,1,5,5,3,3
29325,29326,S92000003,P,2,2,3,1,2,1,1,1,1,1,9,11,2,4
29326,29327,S92000003,P,2,2,3,1,2,1,2,1,2,3,5,5,X,4
29327,29328,S92000003,P,2,1,4,1,2,2,2,1,2,7,2,8,X,1
29328,29329,S92000003,P,1,2,5,2,2,1,1,1,2,1,3,11,2,2
29329,29330,S92000003,P,0,1,5,1,2,1,1,1,2,1,9,9,2,4
29330,29331,S92000003,P,2,1,3,1,2,1,1,1,1,1,2,10,3,1
29331,29332,S92000003,P,0,1,2,5,1,2,2,1,1,6,1,4,X,2
29332,29333,S92000003,P,0,1,4,1,2,1,3,1,2,8,3,11,X,2
29333,29334,S92000003,P,1,2,6,2,2,1,1,1,1,5,7,4,X,2
29334,29335,S92000003,P,0,2,7,4,2,1,4,1,2,5,4,4,X,2
29335,29336,S92000003,P,3,1,4,1,2,1,2,1,2,3,7,4,X,4
29336,29337,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
29337,29338,S92000003,P,0,2,7,5,2,1,4,1,2,5,2,11,X,2
29338,29339,S92000003,P,0,2,3,1,2,1,1,1,2,1,5,5,3,3
29339,29340,S92000003,P,3,2,5,1,2,1,3,1,1,3,4,11,X,3
29340,29341,S92000003,P,1,1,5,2,2,1,1,1,2,2,8,6,4,4
29341,29342,S92000003,P,3,2,1,1,1,1,2,1,1,X,X,X,X,X
29342,29343,S92000003,P,2,1,3,1,2,1,1,1,1,1,7,4,4,2
29343,29344,S92000003,P,4,2,4,4,2,1,1,1,1,1,7,4,2,4
29344,29345,S92000003,P,1,1,2,1,2,1,2,1,1,3,9,6,X,3
29345,29346,S92000003,P,1,1,6,2,2,1,2,1,9,2,1,5,4,2
29346,29347,S92000003,P,1,2,2,1,1,1,1,1,2,4,7,7,3,2
29347,29348,S92000003,P,2,2,5,3,2,1,4,1,2,1,4,11,3,4
29348,29349,S92000003,P,0,2,4,1,2,1,2,1,1,1,4,8,3,2
29349,29350,S92000003,P,1,1,2,1,1,1,1,3,1,4,7,4,1,1
29350,29351,S92000003,P,1,1,5,2,2,1,3,1,2,1,8,4,3,4
29351,29352,S92000003,P,1,1,6,2,2,1,2,1,2,1,8,11,3,4
29352,29353,S92000003,P,1,1,4,2,2,2,1,3,6,2,5,5,3,3
29353,29354,S92000003,P,1,2,4,2,2,1,2,1,2,1,6,11,3,3
29354,29355,S92000003,P,1,2,1,1,1,1,1,3,6,X,X,X,X,X
29355,29356,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
29356,29357,S92000003,P,1,2,4,2,2,1,2,3,6,7,7,4,X,4
29357,29358,S92000003,P,4,2,1,1,1,1,1,3,6,X,X,X,X,X
29358,29359,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
29359,29360,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
29360,29361,S92000003,P,1,1,6,2,2,1,2,1,1,1,5,8,3,3
29361,29362,S92000003,P,1,1,4,2,2,1,1,1,2,2,5,3,3,3
29362,29363,S92000003,P,0,2,8,5,2,1,3,1,9,5,6,11,X,4
29363,29364,S92000003,P,0,1,6,1,2,1,2,1,2,1,9,4,4,4
29364,29365,S92000003,P,0,1,2,1,2,1,1,1,2,1,9,6,2,4
29365,29366,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
29366,29367,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,8,X,3
29367,29368,S92000003,P,0,1,8,5,2,1,5,1,2,5,5,13,X,3
29368,29369,S92000003,P,1,2,8,2,2,1,3,1,2,5,2,12,X,4
29369,29370,S92000003,P,0,1,5,1,2,1,3,1,2,8,9,5,X,4
29370,29371,S92000003,P,4,2,4,1,2,1,1,1,2,1,6,11,3,3
29371,29372,S92000003,P,1,1,2,1,2,1,1,1,2,1,3,9,3,2
29372,29373,S92000003,P,2,1,2,1,2,1,1,1,2,3,9,6,X,2
29373,29374,S92000003,P,0,1,4,1,2,1,1,1,1,1,9,3,3,4
29374,29375,S92000003,P,4,2,1,1,2,1,4,1,2,X,X,X,X,X
29375,29376,S92000003,P,2,2,3,1,2,1,1,1,1,1,1,5,4,3
29376,29377,S92000003,P,0,1,3,1,2,2,1,1,1,1,5,3,3,3
29377,29378,S92000003,P,0,1,5,5,2,1,2,1,2,2,7,4,2,4
29378,29379,S92000003,P,0,2,4,1,2,1,1,1,2,1,1,5,4,2
29379,29380,S92000003,P,1,2,6,2,2,1,3,1,1,1,4,8,3,3
29380,29381,S92000003,P,1,2,5,2,2,1,1,1,2,1,4,4,3,3
29381,29382,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
29382,29383,S92000003,P,1,2,7,2,2,1,1,1,2,1,2,10,3,1
29383,29384,S92000003,P,3,1,8,5,2,1,1,1,2,5,1,4,X,2
29384,29385,S92000003,P,2,1,4,1,2,1,1,1,2,1,4,9,3,2
29385,29386,S92000003,P,4,2,5,3,2,1,3,1,2,1,2,10,4,1
29386,29387,S92000003,P,5,2,4,1,2,1,1,1,2,1,7,4,4,1
29387,29388,S92000003,P,1,2,6,2,2,1,1,1,2,7,4,10,X,1
29388,29389,S92000003,P,1,1,2,1,1,1,1,1,9,6,X,X,X,1
29389,29390,S92000003,P,1,1,5,2,2,1,2,1,2,1,2,8,3,1
29390,29391,S92000003,P,1,1,5,2,2,1,1,1,1,2,1,4,4,2
29391,29392,S92000003,P,1,1,5,2,2,1,2,1,1,1,3,11,3,2
29392,29393,S92000003,P,0,2,3,3,1,1,1,1,1,4,6,11,2,2
29393,29394,S92000003,P,2,2,3,1,2,1,2,1,1,1,3,6,3,1
29394,29395,S92000003,P,0,2,8,5,2,1,1,1,2,5,5,1,X,3
29395,29396,S92000003,P,0,1,8,5,2,1,4,1,1,5,8,1,X,3
29396,29397,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,11,2,2
29397,29398,S92000003,P,2,1,1,1,1,1,3,1,2,X,X,X,X,X
29398,29399,S92000003,P,1,1,3,2,2,2,2,3,6,7,X,X,X,1
29399,29400,S92000003,P,5,2,2,1,1,1,2,1,1,4,2,10,3,3
29400,29401,S92000003,P,1,1,6,2,2,1,1,1,2,1,9,6,3,3
29401,29402,S92000003,P,4,2,6,4,2,1,2,1,2,8,9,11,X,4
29402,29403,S92000003,P,2,1,3,1,1,1,1,1,2,4,9,5,1,2
29403,29404,S92000003,P,1,1,6,2,2,1,1,1,2,2,8,6,4,4
29404,29405,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
29405,29406,S92000003,P,1,2,4,2,2,1,1,1,1,1,7,4,2,4
29406,29407,S92000003,P,2,1,4,1,2,1,1,1,1,7,7,4,X,4
29407,29408,S92000003,P,0,1,4,2,2,1,3,1,1,1,5,5,3,2
29408,29409,S92000003,P,0,2,6,4,2,1,3,1,2,1,4,8,3,2
29409,29410,S92000003,P,0,2,3,1,2,1,3,1,9,1,4,8,3,2
29410,29411,S92000003,P,0,1,3,1,2,1,1,1,2,1,1,8,3,1
29411,29412,S92000003,P,0,1,5,4,2,1,2,1,2,3,4,6,X,2
29412,29413,S92000003,P,1,2,3,2,2,1,2,1,2,1,6,11,3,2
29413,29414,S92000003,P,0,2,6,4,2,1,1,1,1,1,4,8,3,2
29414,29415,S92000003,P,2,2,3,1,2,1,1,1,1,1,2,6,3,2
29415,29416,S92000003,P,1,2,7,2,2,1,3,1,2,5,X,X,X,4
29416,29417,S92000003,P,1,2,5,2,2,1,2,1,2,7,2,13,X,1
29417,29418,S92000003,P,4,1,3,1,2,1,1,1,2,3,X,X,X,4
29418,29419,S92000003,P,5,1,6,1,2,1,4,1,2,1,5,2,3,3
29419,29420,S92000003,P,0,1,7,4,2,1,3,1,1,5,5,2,X,4
29420,29421,S92000003,P,0,2,7,5,2,1,2,1,9,5,9,11,X,4
29421,29422,S92000003,P,0,2,8,4,2,1,5,1,2,8,5,2,X,4
29422,29423,S92000003,P,5,2,5,3,2,2,2,1,2,1,7,4,3,4
29423,29424,S92000003,P,5,1,6,4,2,1,3,1,2,8,5,13,X,2
29424,29425,S92000003,P,0,2,7,5,2,1,1,1,1,1,6,11,3,3
29425,29426,S92000003,P,1,2,3,2,2,1,2,1,2,7,4,8,X,2
29426,29427,S92000003,P,1,2,4,2,2,1,2,1,2,1,6,13,3,3
29427,29428,S92000003,P,4,2,6,5,2,1,2,1,2,1,4,7,3,2
29428,29429,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
29429,29430,S92000003,P,1,1,3,1,2,1,2,1,2,1,5,2,3,2
29430,29431,S92000003,P,1,1,5,2,2,1,1,1,2,1,5,2,3,2
29431,29432,S92000003,P,2,1,3,1,2,1,3,1,9,1,3,8,3,2
29432,29433,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
29433,29434,S92000003,P,4,2,4,4,2,1,4,1,2,3,9,4,X,4
29434,29435,S92000003,P,1,1,5,2,2,1,3,1,2,2,5,3,3,3
29435,29436,S92000003,P,3,1,5,4,2,2,2,1,1,3,5,3,X,3
29436,29437,S92000003,P,4,2,1,1,2,1,3,3,1,X,X,X,X,X
29437,29438,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
29438,29439,S92000003,P,0,2,6,4,2,1,2,1,2,1,7,7,3,2
29439,29440,S92000003,P,1,2,1,1,2,1,1,6,6,X,X,X,X,X
29440,29441,S92000003,P,0,1,3,1,2,2,1,4,6,3,X,X,X,4
29441,29442,S92000003,P,1,1,3,2,2,2,2,4,6,3,9,8,X,4
29442,29443,S92000003,P,1,1,2,1,1,2,1,3,6,6,X,X,X,4
29443,29444,S92000003,P,4,1,1,1,2,1,1,1,2,X,X,X,X,X
29444,29445,S92000003,P,2,1,5,1,2,1,1,1,2,1,6,11,4,4
29445,29446,S92000003,P,2,2,3,1,1,2,1,1,1,6,2,8,X,2
29446,29447,S92000003,P,0,1,4,1,2,1,2,1,2,1,5,3,4,3
29447,29448,S92000003,P,0,1,3,1,1,1,1,1,2,4,4,7,3,2
29448,29449,S92000003,P,1,2,7,2,2,1,4,1,2,5,X,X,X,3
29449,29450,S92000003,P,1,2,3,2,2,1,2,3,6,1,3,11,3,2
29450,29451,S92000003,P,0,2,3,1,2,2,2,3,6,1,4,7,3,2
29451,29452,S92000003,P,0,1,6,1,2,1,2,1,2,6,9,3,X,2
29452,29453,S92000003,P,4,2,5,3,2,1,2,1,1,1,6,11,2,3
29453,29454,S92000003,P,1,2,1,1,2,1,1,1,9,X,X,X,X,X
29454,29455,S92000003,P,1,1,5,2,2,1,1,1,1,1,3,6,3,2
29455,29456,S92000003,P,2,1,2,1,2,1,1,6,2,1,3,8,4,2
29456,29457,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
29457,29458,S92000003,P,2,1,4,1,2,1,2,1,1,1,2,10,3,1
29458,29459,S92000003,P,4,1,2,1,2,1,2,1,8,1,4,7,3,2
29459,29460,S92000003,P,0,1,3,1,2,1,1,1,1,1,2,8,4,1
29460,29461,S92000003,P,4,2,4,3,2,1,1,1,1,1,2,11,3,1
29461,29462,S92000003,P,1,1,3,2,2,2,1,4,6,1,8,5,3,1
29462,29463,S92000003,P,1,2,2,1,2,1,1,1,2,6,7,4,X,1
29463,29464,S92000003,P,0,2,2,1,1,2,1,1,1,6,9,5,X,2
29464,29465,S92000003,P,0,1,4,1,2,1,2,1,1,3,3,6,X,2
29465,29466,S92000003,P,0,1,6,4,2,1,2,1,9,1,6,10,3,3
29466,29467,S92000003,P,1,1,1,1,2,1,1,1,9,X,X,X,X,X
29467,29468,S92000003,P,2,2,5,1,2,1,1,1,1,1,2,9,2,3
29468,29469,S92000003,P,4,1,2,1,1,1,1,1,1,6,9,4,X,2
29469,29470,S92000003,P,2,1,3,1,2,2,1,1,2,1,5,5,3,3
29470,29471,S92000003,P,0,2,2,1,1,1,1,1,1,4,2,10,1,2
29471,29472,S92000003,P,1,2,6,2,2,1,2,1,2,1,2,10,2,2
29472,29473,S92000003,P,3,2,1,1,1,1,1,1,1,X,X,X,X,X
29473,29474,S92000003,P,4,1,1,1,1,1,2,3,9,X,X,X,X,X
29474,29475,S92000003,P,1,1,7,2,2,1,1,1,2,5,1,6,X,2
29475,29476,S92000003,P,0,2,7,4,2,1,5,1,1,5,4,7,X,2
29476,29477,S92000003,P,0,2,5,2,2,1,1,1,1,1,4,3,3,2
29477,29478,S92000003,P,4,2,3,1,2,1,1,1,1,7,X,X,X,4
29478,29479,S92000003,C,X,1,8,5,2,1,2,1,2,5,8,6,X,X
29479,29480,S92000003,P,1,1,6,2,2,2,2,3,6,2,1,4,4,2
29480,29481,S92000003,P,2,1,4,1,2,1,1,1,1,2,2,8,3,1
29481,29482,S92000003,P,1,2,4,2,2,1,2,1,2,1,2,11,3,1
29482,29483,S92000003,P,1,2,2,1,2,1,2,3,6,1,7,8,2,4
29483,29484,S92000003,P,1,2,5,2,2,2,1,1,2,1,2,11,2,1
29484,29485,S92000003,P,0,2,3,1,1,2,1,1,9,6,X,X,X,2
29485,29486,S92000003,P,2,2,2,1,2,1,1,1,1,1,2,10,2,2
29486,29487,S92000003,P,1,2,1,1,1,1,1,3,6,X,X,X,X,X
29487,29488,S92000003,P,4,2,5,1,2,1,2,1,1,1,4,11,2,2
29488,29489,S92000003,P,1,1,6,2,2,1,2,1,2,2,3,11,1,1
29489,29490,S92000003,P,1,1,3,2,2,1,1,1,1,1,3,8,3,2
29490,29491,S92000003,P,2,2,2,1,1,1,1,1,9,6,9,3,X,2
29491,29492,S92000003,P,0,2,3,1,2,1,1,1,2,1,4,2,3,2
29492,29493,S92000003,P,5,1,4,1,2,1,3,1,2,3,5,3,X,3
29493,29494,S92000003,P,3,2,1,1,1,1,1,1,2,X,X,X,X,X
29494,29495,S92000003,P,4,2,4,1,2,1,2,1,1,1,3,9,3,2
29495,29496,S92000003,P,1,1,4,2,2,1,1,1,9,1,6,8,3,2
29496,29497,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
29497,29498,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
29498,29499,S92000003,P,0,1,4,1,2,1,4,1,1,1,4,7,3,2
29499,29500,S92000003,P,2,1,3,1,2,1,1,1,1,1,9,5,3,4
29500,29501,S92000003,P,0,1,5,4,2,1,5,1,2,9,5,3,X,3
29501,29502,S92000003,P,0,1,3,1,2,1,1,1,1,1,2,8,4,1
29502,29503,S92000003,P,1,2,3,2,2,2,1,4,2,3,6,11,X,2
29503,29504,S92000003,P,0,1,4,1,2,1,2,1,1,8,X,X,X,4
29504,29505,S92000003,P,0,1,2,1,1,1,1,1,1,6,X,X,X,2
29505,29506,S92000003,P,0,1,2,1,1,1,1,1,2,6,X,X,X,2
29506,29507,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
29507,29508,S92000003,P,2,1,1,1,1,1,2,1,1,X,X,X,X,X
29508,29509,S92000003,P,1,2,7,2,2,1,3,1,2,5,9,11,X,3
29509,29510,S92000003,P,1,2,5,2,2,1,1,1,2,1,9,2,3,4
29510,29511,S92000003,P,4,2,3,1,2,1,3,1,1,8,X,X,X,4
29511,29512,S92000003,P,2,2,4,1,2,1,1,1,1,1,7,4,3,3
29512,29513,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
29513,29514,S92000003,P,1,1,7,2,2,1,3,1,2,5,5,2,X,3
29514,29515,S92000003,P,1,1,7,2,2,1,2,1,2,5,8,3,X,4
29515,29516,S92000003,C,X,2,5,1,2,1,2,1,2,8,X,X,X,X
29516,29517,S92000003,P,1,1,7,2,2,1,3,1,1,5,5,3,X,3
29517,29518,S92000003,P,4,2,2,1,2,1,2,1,2,3,X,X,X,4
29518,29519,S92000003,P,0,2,3,1,1,1,1,1,2,4,9,5,1,2
29519,29520,S92000003,P,1,1,6,2,2,1,4,1,2,5,9,4,X,4
29520,29521,S92000003,P,0,1,8,1,2,1,2,1,2,1,9,5,3,4
29521,29522,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
29522,29523,S92000003,P,0,2,6,1,2,1,3,1,1,1,6,11,3,4
29523,29524,S92000003,P,0,2,8,3,2,1,3,1,9,5,9,11,X,4
29524,29525,S92000003,P,0,1,3,1,2,2,1,4,2,9,X,X,X,2
29525,29526,S92000003,P,1,1,6,2,2,1,5,1,1,8,3,3,X,2
29526,29527,S92000003,P,0,2,3,1,1,1,1,1,2,4,7,6,1,2
29527,29528,S92000003,P,0,1,3,1,2,1,1,1,8,2,3,4,2,2
29528,29529,S92000003,P,0,2,8,1,2,1,1,1,2,5,4,10,X,2
29529,29530,S92000003,P,5,2,6,5,2,1,5,1,2,8,X,X,X,4
29530,29531,S92000003,P,4,2,8,5,2,1,3,1,2,5,8,2,X,2
29531,29532,S92000003,P,1,2,3,2,2,1,1,1,2,1,6,13,2,2
29532,29533,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,8,3,3
29533,29534,S92000003,P,1,1,8,2,2,1,2,1,2,5,8,6,X,3
29534,29535,S92000003,P,4,2,8,4,2,1,4,1,2,5,9,5,X,4
29535,29536,S92000003,P,0,1,5,1,2,1,2,1,2,1,9,6,3,3
29536,29537,S92000003,P,1,1,3,1,2,1,1,1,2,1,2,6,3,2
29537,29538,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
29538,29539,S92000003,P,4,2,3,1,2,1,2,1,1,1,7,4,2,4
29539,29540,S92000003,P,3,2,2,1,2,2,3,1,1,8,9,5,X,3
29540,29541,S92000003,P,0,1,6,4,2,1,3,1,2,1,8,6,3,3
29541,29542,S92000003,P,0,2,6,4,2,1,1,1,2,1,4,9,2,2
29542,29543,S92000003,P,3,1,2,1,2,1,1,1,9,1,5,3,3,3
29543,29544,S92000003,P,1,1,8,2,2,1,2,1,2,5,3,9,X,2
29544,29545,S92000003,P,0,1,8,5,2,1,2,1,1,5,1,8,X,2
29545,29546,S92000003,P,2,2,4,1,1,1,4,1,2,6,9,5,X,2
29546,29547,S92000003,P,0,2,6,3,2,1,4,1,1,9,9,12,X,4
29547,29548,S92000003,P,3,1,4,1,2,1,3,1,2,1,9,2,3,4
